"Date","Price","Open","High","Low","Vol.","Change %"
"02/25/2024","18,302.91","17,970.21","18,333.26","17,840.36","","2.04%"
"02/18/2024","17,937.61","17,591.79","18,090.77","17,319.45","","1.42%"
"02/11/2024","17,685.98","17,943.32","18,041.19","17,478.35","","-1.54%"
"02/04/2024","17,962.40","17,634.69","17,987.82","17,470.37","","1.81%"
"01/28/2024","17,642.73","17,437.41","17,681.54","17,128.74","","1.27%"
"01/21/2024","17,421.01","17,402.57","17,665.18","17,286.65","","0.62%"
"01/14/2024","17,314.01","16,774.70","17,314.79","16,562.31","","2.86%"
"01/07/2024","16,832.92","16,352.01","16,899.97","16,349.83","","3.23%"
"12/31/2023","16,305.98","16,669.41","16,683.40","16,249.60","","-3.09%"
"12/24/2023","16,825.93","16,816.78","16,968.14","16,758.21","","0.29%"
"12/17/2023","16,777.40","16,631.11","16,860.22","16,553.98","","0.93%"
"12/10/2023","16,623.45","16,066.99","16,669.69","16,064.37","","3.35%"
"12/03/2023","16,084.69","15,837.12","16,100.68","15,695.58","","0.54%"
"11/26/2023","15,997.58","15,971.05","16,166.18","15,825.83","","0.11%"
"11/19/2023","15,980.11","15,846.14","16,118.43","15,846.14","","0.90%"
"11/12/2023","15,837.99","15,470.03","15,904.36","15,405.50","","1.99%"
"11/05/2023","15,529.12","15,139.15","15,534.81","15,065.14","","2.85%"
"10/29/2023","15,099.49","14,282.11","15,149.71","14,225.94","","6.48%"
"10/22/2023","14,180.42","14,515.34","14,774.16","14,058.33","","-2.61%"
"10/15/2023","14,560.88","15,054.48","15,209.41","14,552.31","","-2.90%"
"10/08/2023","14,995.12","14,872.03","15,333.98","14,816.38","","0.15%"
"10/01/2023","14,973.24","14,716.83","15,021.38","14,504.51","","1.75%"
"09/24/2023","14,715.24","14,662.69","14,900.66","14,432.87","","0.10%"
"09/17/2023","14,701.10","15,160.01","15,268.84","14,687.01","","-3.30%"
"09/10/2023","15,202.40","15,408.55","15,512.74","15,174.13","","-0.51%"
"09/03/2023","15,280.23","15,460.03","15,556.52","15,138.73","","-1.36%"
"08/27/2023","15,490.86","15,034.95","15,618.04","14,948.92","","3.67%"
"08/20/2023","14,941.83","14,765.12","15,279.24","14,716.77","","1.68%"
"08/13/2023","14,694.84","14,989.53","15,205.58","14,558.71","","-2.22%"
"08/06/2023","15,028.07","15,354.45","15,410.59","14,973.82","","-1.62%"
"07/30/2023","15,274.92","15,774.30","15,803.13","15,259.07","771.89M","-3.02%"
"07/23/2023","15,750.93","15,475.15","15,795.51","15,374.66","1.31B","2.11%"
"07/16/2023","15,425.67","15,608.28","15,932.05","15,410.57","1.90B","-0.90%"
"07/09/2023","15,565.60","15,031.95","15,720.06","14,924.64","1.29B","3.52%"
"07/02/2023","15,036.85","15,190.54","15,275.18","14,969.14","856.51M","-0.94%"
"06/25/2023","15,179.21","14,866.66","15,213.75","14,687.02","1.33B","1.93%"
"06/18/2023","14,891.48","15,036.48","15,127.42","14,794.95","1.26B","-1.28%"
"06/11/2023","15,083.92","14,617.35","15,284.65","14,571.36","1.96B","3.82%"
"06/04/2023","14,528.36","14,550.13","14,672.85","14,283.88","1.35B","-0.13%"
"05/28/2023","14,546.64","14,465.59","14,595.81","14,216.16","1.51B","1.74%"
"05/21/2023","14,298.41","13,805.33","14,329.49","13,520.92","1.41B","3.59%"
"05/14/2023","13,803.49","13,352.26","13,874.42","13,297.85","1.21B","3.47%"
"05/07/2023","13,340.17","13,247.09","13,427.42","13,193.08","1.20B","0.61%"
"04/30/2023","13,259.13","13,229.11","13,291.11","12,938.45","1.23B","0.10%"
"04/23/2023","13,245.99","12,981.71","13,247.39","12,724.24","1.37B","1.89%"
"04/16/2023","13,000.77","13,053.26","13,196.18","12,899.64","1.09B","-0.60%"
"04/09/2023","13,079.52","12,936.52","13,152.28","12,833.31","1.08B","0.13%"
"04/02/2023","13,062.60","13,084.10","13,204.08","12,846.03","951.62M","-0.90%"
"03/26/2023","13,181.35","12,797.90","13,188.83","12,517.87","1.24B","3.25%"
"03/19/2023","12,767.05","12,487.79","12,943.62","12,407.82","1.43B","1.97%"
"03/12/2023","12,519.88","11,752.10","12,674.34","11,695.41","2.08B","5.83%"
"03/05/2023","11,830.28","12,344.65","12,466.88","11,789.86","1.32B","-3.75%"
"02/26/2023","12,290.81","12,106.79","12,300.46","11,830.09","1.32B","2.68%"
"02/19/2023","11,969.65","12,205.21","12,257.06","11,900.84","1.11B","-3.14%"
"02/12/2023","12,358.18","12,356.50","12,689.34","12,233.79","1.34B","0.43%"
"02/05/2023","12,304.92","12,468.81","12,771.58","12,204.22","1.46B","-2.13%"
"01/29/2023","12,573.36","12,047.16","12,880.98","11,906.11","1.70B","3.34%"
"01/22/2023","12,166.60","11,652.00","12,248.15","11,550.07","1.38B","4.71%"
"01/15/2023","11,619.03","11,531.55","11,690.27","11,251.94","1.14B","0.67%"
"01/08/2023","11,541.48","11,133.07","11,547.96","11,050.68","1.28B","4.54%"
"01/01/2023","11,040.35","11,038.42","11,093.10","10,696.42","1.18B","0.92%"
"12/25/2022","10,939.76","10,944.30","10,981.06","10,671.19","886.80M","-0.42%"
"12/18/2022","10,985.45","11,243.00","11,285.77","10,784.01","1.29B","-2.30%"
"12/11/2022","11,243.72","11,572.26","12,166.41","11,175.54","2.08B","-2.76%"
"12/04/2022","11,563.33","11,899.54","11,957.35","11,431.96","1.17B","-3.59%"
"11/27/2022","11,994.26","11,684.07","12,115.34","11,450.34","1.42B","2.03%"
"11/20/2022","11,756.03","11,623.35","11,866.42","11,503.34","720.09M","0.68%"
"11/13/2022","11,677.02","11,728.11","12,024.95","11,519.38","1.30B","-1.18%"
"11/06/2022","11,817.01","10,900.83","11,840.07","10,790.35","1.60B","8.84%"
"10/30/2022","10,857.03","11,465.21","11,574.39","10,632.39","1.57B","-5.97%"
"10/23/2022","11,546.21","11,321.11","11,681.85","11,166.49","1.59B","2.09%"
"10/16/2022","11,310.33","10,967.25","11,374.38","10,959.75","1.33B","5.78%"
"10/09/2022","10,692.06","11,048.51","11,152.89","10,440.64","1.42B","-3.15%"
"10/02/2022","11,039.47","11,059.17","11,660.55","10,985.01","1.34B","0.62%"
"09/25/2022","10,971.22","11,283.14","11,546.87","10,966.95","1.41B","-3.01%"
"09/18/2022","11,311.24","11,753.60","12,062.52","11,169.66","1.25B","-4.64%"
"09/11/2022","11,861.38","12,649.23","12,752.83","11,710.25","1.87B","-5.77%"
"09/04/2022","12,588.29","12,106.57","12,610.43","11,928.81","941.72M","4.05%"
"08/28/2022","12,098.44","12,488.46","12,594.34","12,012.98","1.29B","-4.02%"
"08/21/2022","12,605.17","13,056.39","13,175.25","12,603.41","1.10B","-4.82%"
"08/14/2022","13,242.90","13,529.66","13,720.91","13,210.82","982.54M","-2.38%"
"08/07/2022","13,565.87","13,227.09","13,565.87","12,945.60","1.08B","2.71%"
"07/31/2022","13,207.69","12,877.04","13,326.72","12,809.01","1.16B","2.01%"
"07/24/2022","12,947.98","12,391.21","12,986.64","12,051.21","1.32B","4.45%"
"07/17/2022","12,396.47","12,089.68","12,662.86","11,836.52","1.20B","3.45%"
"07/10/2022","11,983.62","12,008.76","12,026.06","11,488.27","1.08B","-1.17%"
"07/03/2022","12,125.69","11,419.34","12,179.32","11,366.07","851.83M","4.66%"
"06/26/2022","11,585.68","12,157.93","12,175.98","11,322.86","1.17B","-4.30%"
"06/19/2022","12,105.85","11,446.99","12,112.82","11,423.20","1.18B","7.45%"
"06/12/2022","11,265.99","11,472.19","11,751.30","11,037.21","1.84B","-4.79%"
"06/05/2022","11,832.82","12,745.89","12,804.46","11,825.35","1.10B","-5.70%"
"05/29/2022","12,548.02","12,688.95","12,897.63","12,447.77","1.08B","-1.05%"
"05/22/2022","12,681.42","11,867.08","12,682.58","11,576.11","1.18B","7.15%"
"05/15/2022","11,835.62","12,297.07","12,572.99","11,492.29","1.30B","-4.45%"
"05/08/2022","12,387.40","12,465.91","12,542.32","11,692.12","1.52B","-2.41%"
"05/01/2022","12,693.53","12,864.83","13,556.67","12,522.77","1.36B","-1.25%"
"04/24/2022","12,854.80","13,275.41","13,542.56","12,835.48","1.37B","-3.76%"
"04/17/2022","13,356.87","13,859.47","14,277.21","13,342.79","1.06B","-3.86%"
"04/10/2022","13,893.22","14,149.60","14,264.74","13,882.75","818.25M","-3.03%"
"04/03/2022","14,327.26","14,903.38","15,161.89","14,307.68","1.04B","-3.59%"
"03/27/2022","14,861.21","14,763.16","15,265.42","14,705.92","1.12B","0.72%"
"03/20/2022","14,754.31","14,377.15","14,805.88","14,190.53","1.12B","2.32%"
"03/13/2022","14,420.08","13,248.09","14,427.47","13,020.40","1.69B","8.41%"
"03/06/2022","13,301.83","13,853.53","13,879.10","13,129.40","1.35B","-3.87%"
