
Time,Normalized Value (0-100),Absolute Google Search Volume

2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,1,248577
2011-06-01,3,745733
2011-07-01,1,248577
2011-08-01,1,248577
2011-09-01,1,248577
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,0
2012-07-01,0,0
2012-08-01,1,248577
2012-09-01,1,248577
2012-10-01,0,0
2012-11-01,1,248577
2012-12-01,1,248577
2013-01-01,1,248577
2013-02-01,1,248577
2013-03-01,3,745733
2013-04-01,8,1988623
2013-05-01,3,745733
2013-06-01,2,497155
2013-07-01,2,497155
2013-08-01,2,497155
2013-09-01,2,497155
2013-10-01,3,745733
2013-11-01,10,2485779
2013-12-01,12,2982935
2014-01-01,8,1988623
2014-02-01,9,2237201
2014-03-01,6,1491467
2014-04-01,4,994311
2014-05-01,3,745733
2014-06-01,3,745733
2014-07-01,3,745733
2014-08-01,3,745733
2014-09-01,3,745733
2014-10-01,3,745733
2014-11-01,3,745733
2014-12-01,3,745733
2015-01-01,3,745733
2015-02-01,3,745733
2015-03-01,3,745733
2015-04-01,2,497155
2015-05-01,2,497155
2015-06-01,2,497155
2015-07-01,3,745733
2015-08-01,3,745733
2015-09-01,2,497155
2015-10-01,3,745733
2015-11-01,4,994311
2015-12-01,4,994311
2016-01-01,3,745733
2016-02-01,3,745733
2016-03-01,3,745733
2016-04-01,3,745733
2016-05-01,3,745733
2016-06-01,4,994311
2016-07-01,3,745733
2016-08-01,3,745733
2016-09-01,3,745733
2016-10-01,3,745733
2016-11-01,4,994311
2016-12-01,5,1242889
2017-01-01,6,1491467
2017-02-01,6,1491467
2017-03-01,7,1740045
2017-04-01,6,1491467
2017-05-01,15,3728668
2017-06-01,15,3728668
2017-07-01,13,3231512
2017-08-01,21,5220136
2017-09-01,22,5468714
2017-10-01,23,5717292
2017-11-01,43,10688850
2017-12-01,100,24857792
2018-01-01,56,13920363
2018-02-01,41,10191694
2018-03-01,23,5717292
2018-04-01,19,4722980
2018-05-01,15,3728668
2018-06-01,13,3231512
2018-07-01,13,3231512
2018-08-01,12,2982935
2018-09-01,12,2982935
2018-10-01,9,2237201
2018-11-01,15,3728668
2018-12-01,13,3231512
2019-01-01,10,2485779
2019-02-01,9,2237201
2019-03-01,9,2237201
2019-04-01,13,3231512
2019-05-01,17,4225824
2019-06-01,21,5220136
2019-07-01,19,4722980
2019-08-01,16,3977246
2019-09-01,12,2982935
2019-10-01,12,2982935
2019-11-01,12,2982935
2019-12-01,11,2734357
2020-01-01,13,3231512
2020-02-01,14,3480090
2020-03-01,20,4971558
2020-04-01,16,3977246
2020-05-01,20,4971558
2020-06-01,13,3231512
2020-07-01,15,3728668
2020-08-01,16,3977246
2020-09-01,13,3231512
2020-10-01,14,3480090
2020-11-01,24,5965870
2020-12-01,31,7705915
2021-01-01,64,15908986
2021-02-01,67,16654720
2021-03-01,48,11931740
2021-04-01,53,13174629
2021-05-01,66,16406142
2021-06-01,44,10937428
2021-07-01,31,7705915
2021-08-01,32,7954493
2021-09-01,32,7954493
2021-10-01,36,8948805
2021-11-01,34,8451649
2021-12-01,33,8203071
2022-01-01,42,10440272
2022-02-01,36,8948805
2022-03-01,32,7954493
2022-04-01,23,5717292
2022-05-01,36,8948805
2022-06-01,41,10191694
2022-07-01,31,7705915
2022-08-01,23,5717292
2022-09-01,21,5220136
2022-10-01,17,4225824
2022-11-01,25,6214448
2022-12-01,17,4225824
2023-01-01,20,4971558
2023-02-01,20,4971558
2023-03-01,23,5717292
2023-04-01,21,5220136
2023-05-01,18,4474402
2023-06-01,19,4722980
2023-07-01,18,4474402
2023-08-01,18,4474402
2023-09-01,15,3728668
2023-10-01,20,4971558
2023-11-01,21,5220136
2023-12-01,24,5965870
2024-01-01,28,6960181
2024-02-01,27,6711603
2024-03-01,50,12428896
