Category: All categories

Week,bitcoin: (Worldwide)
2016-01-03,53
2016-01-10,56
2016-01-17,59
2016-01-24,50
2016-01-31,46
2016-02-07,49
2016-02-14,58
2016-02-21,52
2016-02-28,52
2016-03-06,49
2016-03-13,51
2016-03-20,46
2016-03-27,47
2016-04-03,47
2016-04-10,46
2016-04-17,48
2016-04-24,53
2016-05-01,84
2016-05-08,54
2016-05-15,49
2016-05-22,51
2016-05-29,68
2016-06-05,63
2016-06-12,94
2016-06-19,91
2016-06-26,75
2016-07-03,70
2016-07-10,59
2016-07-17,52
2016-07-24,53
2016-07-31,75
2016-08-07,56
2016-08-14,51
2016-08-21,51
2016-08-28,49
2016-09-04,55
2016-09-11,54
2016-09-18,54
2016-09-25,51
2016-10-02,53
2016-10-09,55
2016-10-16,56
2016-10-23,61
2016-10-30,68
2016-11-06,69
2016-11-13,67
2016-11-20,65
2016-11-27,67
2016-12-04,71
2016-12-11,68
2016-12-18,86
2016-12-25,100
