Category: All categories

Month,what is bitcoin?: (Worldwide),que es bitcoin?: (Worldwide)
2010-08,0,0
2010-09,0,0
2010-10,0,0
2010-11,0,0
2010-12,0,0
2011-01,0,0
2011-02,0,0
2011-03,0,0
2011-04,0,0
2011-05,0,0
2011-06,0,8
2011-07,0,0
2011-08,0,0
2011-09,0,0
2011-10,0,0
2011-11,0,0
2011-12,0,0
2012-01,0,0
2012-02,0,0
2012-03,0,0
2012-04,0,0
2012-05,0,0
2012-06,0,0
2012-07,0,0
2012-08,0,0
2012-09,0,0
2012-10,0,0
2012-11,0,0
2012-12,0,0
2013-01,0,0
2013-02,0,0
2013-03,7,0
2013-04,17,0
2013-05,6,0
2013-06,0,0
2013-07,5,0
2013-08,5,0
2013-09,0,0
2013-10,7,0
2013-11,30,0
2013-12,43,4
2014-01,27,0
2014-02,20,0
2014-03,26,0
2014-04,11,0
2014-05,7,0
2014-06,9,0
2014-07,8,0
2014-08,6,0
2014-09,0,0
2014-10,9,0
2014-11,9,0
2014-12,0,0
2015-01,5,0
2015-02,7,0
2015-03,6,0
2015-04,5,0
2015-05,0,0
2015-06,9,0
2015-07,4,0
2015-08,6,5
2015-09,3,0
2015-10,5,0
2015-11,8,0
2015-12,4,0
2016-01,5,0
2016-02,4,0
2016-03,5,0
2016-04,4,0
2016-05,9,0
2016-06,5,0
2016-07,6,0
2016-08,3,0
2016-09,0,0
2016-10,6,0
2016-11,6,0
2016-12,6,0
2017-01,6,0
2017-02,10,0
2017-03,8,0
2017-04,0,0
2017-05,23,0
2017-06,18,4
2017-07,14,3
2017-08,30,0
2017-09,19,0
2017-10,31,0
2017-11,66,4
2017-12,100,4
2018-01,0,2
2018-02,13,0
2018-03,22,3
2018-04,19,0
2018-05,16,0
2018-06,17,0
2018-07,15,0
2018-08,14,0
2018-09,13,0
2018-10,11,0
2018-11,13,0
2018-12,11,0
2019-01,11,0
2019-02,10,0
2019-03,6,0
2019-04,11,2
2019-05,4,0
2019-06,11,0
2019-07,9,0
2019-08,5,0
2019-09,7,0
2019-10,10,0
2019-11,8,3
2019-12,7,0
2020-01,10,0
2020-02,11,0
2020-03,7,0
2020-04,10,0
2020-05,14,0
2020-06,10,0
2020-07,15,0
2020-08,15,3
2020-09,12,0
2020-10,12,0
2020-11,18,2
2020-12,18,0
2021-01,32,3
2021-02,36,0
2021-03,23,2
2021-04,29,3
2021-05,36,2
2021-06,19,5
2021-07,15,0
2021-08,16,0
2021-09,16,4
2021-10,23,4
2021-11,19,0
2021-12,17,0
2022-01,21,2
2022-02,26,3
2022-03,21,2
2022-04,25,0
2022-05,20,2
2022-06,20,3
2022-07,13,0
2022-08,12,0
2022-09,14,0
2022-10,12,0
2022-11,17,2
2022-12,12,0
2023-01,15,0
2023-02,13,0
2023-03,16,0
2023-04,15,0
2023-05,12,0
2023-06,10,0
2023-07,13,0
2023-08,9,0
2023-09,11,0
2023-10,16,0
2023-11,12,0
2023-12,16,0
2024-01,14,3
2024-02,26,0
2024-03,0,0
