Entity,Code,Year,$10 a day - Number not in poverty,$6.85-$10 - Number in poverty,$3.65-$6.85 - Number in poverty,$2.15-$3.65 - Number in poverty,$2.15 a day - Number in poverty
Albania,ALB,1996,772243,878963,1234921,264962,16944
Albania,ALB,2002,710731,750978,1241842,314122,33337
Albania,ALB,2005,950031,843959,997981,201716,17800
Albania,ALB,2008,1097318,864654,870320,109130,5892
Albania,ALB,2012,1013331,823558,924135,121374,18003
Albania,ALB,2014,1127381,642374,839800,249991,29558
Albania,ALB,2015,1422526,704749,646871,103082,3475
Albania,ALB,2016,1487617,657557,596710,130211,4006
Albania,ALB,2017,1474932,664615,629699,92931,11280
Albania,ALB,2018,1737823,607992,442298,76884,1379
Albania,ALB,2019,1756476,672387,392501,32827,0
Albania,ALB,2020,1828287,621572,346048,41338,604
Algeria,DZA,1988,4130693,4682326,9322347,4551175,1556477
Algeria,DZA,1995,5368599,5708377,10495605,5262098,1643343
Algeria,DZA,2011,11706666,11471093,11897021,1302317,166444
Angola,AGO,2000,3103451,2271864,4536724,2972243,3509780
Angola,AGO,2008,3607632,3102969,6810529,4996383,3174009
Angola,AGO,2018,3533545,3354544,7841017,6811477,9732950
Argentina (urban),,1980,20215831,1729347,1053200,158760,71780
Argentina (urban),,1986,23579748,1439916,773045,186169,294029
Argentina (urban),,1987,22619195,2135414,1481491,243203,317837
Argentina (urban),,1991,20820896,3949325,3281026,578335,281019
Argentina (urban),,1992,21356183,3659942,3168600,709780,491843
Argentina (urban),,1993,21711126,3648499,3041934,867801,590224
Argentina (urban),,1994,21614890,3963929,3417540,760073,579825
Argentina (urban),,1995,20369446,4130822,4029452,1092313,1187855
Argentina (urban),,1996,20064170,4202729,4395185,1291155,1318925
Argentina (urban),,1997,21054742,3894505,4294893,1281419,1194498
Argentina (urban),,1998,20441044,4227129,4829649,1385900,1276500
Argentina (urban),,1999,20129291,4576103,4991102,1541683,1365425
Argentina (urban),,2000,19813183,4542582,5154240,1887222,1648402
Argentina (urban),,2001,18215848,4863499,5246310,2398208,2757085
Argentina (urban),,2002,13730422,5130890,6920774,3907862,4220941
Argentina (urban),,2003,19211063,4972198,5843254,2491260,1812379
Argentina (urban),,2004,21484676,4669890,5258759,2009520,1324935
Argentina (urban),,2005,23420448,4445381,4542015,1842187,925532
Argentina (urban),,2006,25550015,4078865,3875564,1349405,754271
Argentina (urban),,2007,26011802,4472755,3788755,1140020,621114
Argentina (urban),,2008,27436044,3893414,3425337,1126551,578497
Argentina (urban),,2009,28573228,3611926,3236294,913248,562337
Argentina (urban),,2010,29292364,3596287,3022830,866750,277671
Argentina (urban),,2011,30722290,3437645,2594198,524105,265592
Argentina (urban),,2012,31537649,3258615,2362488,625344,243678
Argentina (urban),,2013,32075335,3176463,2490430,527791,239737
Argentina (urban),,2014,31282918,4143749,2746339,578301,238802
Argentina (urban),,2016,32565187,3869264,2652019,587453,266623
Argentina (urban),,2017,33964575,3263976,2319846,690925,171352
Argentina (urban),,2018,33014313,3910555,2885519,752992,313720
Argentina (urban),,2019,32217045,4500828,3406308,891285,324105
Argentina (urban),,2020,30500244,5409808,4442524,995211,449203
Argentina (urban),,2021,32823731,4938354,3436197,645564,405103
Armenia,ARM,1996,519704,476250,1094763,749673,458508
Armenia,ARM,1999,221136,346018,1203689,1053688,381499
Armenia,ARM,2001,221487,286104,1145743,1041951,437848
