Category: All categories

Region,bitcoin: (2/28/23 - 2/29/24)
Hawaii,100
Nevada,95
California,88
Florida,80
New Jersey,77
Washington,75
Colorado,75
Oregon,72
New Hampshire,72
Arizona,71
New York,70
Montana,68
Idaho,68
Minnesota,68
Massachusetts,67
Connecticut,66
Illinois,65
Utah,65
Maryland,64
Alaska,63
Rhode Island,62
Wyoming,62
North Dakota,61
Michigan,60
Pennsylvania,60
Virginia,58
Maine,56
Texas,56
Kansas,56
Tennessee,55
Wisconsin,55
Iowa,55
District of Columbia,54
Georgia,54
New Mexico,53
Missouri,53
Indiana,52
North Carolina,52
Nebraska,52
Vermont,52
South Carolina,51
Ohio,51
South Dakota,50
Louisiana,47
Delaware,47
Arkansas,47
Oklahoma,46
Alabama,44
Kentucky,42
Mississippi,41
West Virginia,36
