
Time,Normalized Value (0-100),Absolute Google Search Volume
2011-05-01,1,253650
2011-06-01,3,760952
2011-07-01,1,253650
2011-08-01,1,253650
2011-09-01,1,253650
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,0
2012-07-01,0,0
2012-08-01,1,253650
2012-09-01,1,253650
2012-10-01,0,0
2012-11-01,1,253650
2012-12-01,1,253650
2013-01-01,1,253650
2013-02-01,1,253650
2013-03-01,3,760952
2013-04-01,8,2029207
2013-05-01,3,760952
2013-06-01,2,507301
2013-07-01,2,507301
2013-08-01,2,507301
2013-09-01,2,507301
2013-10-01,3,760952
2013-11-01,10,2536509
2013-12-01,12,3043811
2014-01-01,8,2029207
2014-02-01,9,2282858
2014-03-01,6,1521905
2014-04-01,4,1014603
2014-05-01,3,760952
2014-06-01,3,760952
2014-07-01,3,760952
2014-08-01,3,760952
2014-09-01,3,760952
2014-10-01,3,760952
2014-11-01,3,760952
2014-12-01,3,760952
2015-01-01,3,760952
2015-02-01,3,760952
2015-03-01,3,760952
2015-04-01,2,507301
2015-05-01,2,507301
2015-06-01,2,507301
2015-07-01,3,760952
2015-08-01,3,760952
2015-09-01,2,507301
2015-10-01,3,760952
2015-11-01,4,1014603
2015-12-01,4,1014603
2016-01-01,3,760952
2016-02-01,3,760952
2016-03-01,3,760952
2016-04-01,3,760952
2016-05-01,3,760952
2016-06-01,4,1014603
2016-07-01,3,760952
2016-08-01,3,760952
2016-09-01,3,760952
2016-10-01,3,760952
2016-11-01,4,1014603
2016-12-01,5,1268254
2017-01-01,6,1521905
2017-02-01,6,1521905
2017-03-01,7,1775556
2017-04-01,6,1521905
2017-05-01,15,3804764
2017-06-01,15,3804764
2017-07-01,13,3297462
2017-08-01,21,5326669
2017-09-01,22,5580320
2017-10-01,23,5833971
2017-11-01,43,10906990
2017-12-01,100,25365093
2018-01-01,56,14204452
2018-02-01,41,10399688
2018-03-01,23,5833971
2018-04-01,19,4819367
2018-05-01,15,3804764
2018-06-01,13,3297462
2018-07-01,13,3297462
2018-08-01,12,3043811
2018-09-01,12,3043811
2018-10-01,9,2282858
2018-11-01,15,3804764
2018-12-01,13,3297462
2019-01-01,10,2536509
2019-02-01,9,2282858
2019-03-01,9,2282858
2019-04-01,13,3297462
2019-05-01,17,4312065
2019-06-01,21,5326669
2019-07-01,19,4819367
2019-08-01,16,4058415
2019-09-01,12,3043811
2019-10-01,12,3043811
2019-11-01,12,3043811
2019-12-01,11,2790160
2020-01-01,13,3297462
2020-02-01,14,3551113
2020-03-01,20,5073018
2020-04-01,16,4058415
2020-05-01,20,5073018
2020-06-01,13,3297462
2020-07-01,15,3804764
2020-08-01,16,4058415
2020-09-01,13,3297462
2020-10-01,14,3551113
2020-11-01,24,6087622
2020-12-01,31,7863179
2021-01-01,64,16233660
2021-02-01,67,16994612
2021-03-01,48,12175245
2021-04-01,53,13443499
2021-05-01,66,16740961
2021-06-01,44,11160641
2021-07-01,31,7863179
2021-08-01,32,8116830
2021-09-01,32,8116830
2021-10-01,36,9131433
2021-11-01,34,8624131
2021-12-01,33,8370480
2022-01-01,42,10653339
2022-02-01,36,9131433
2022-03-01,32,8116830
2022-04-01,23,5833971
2022-05-01,36,9131433
2022-06-01,41,10399688
2022-07-01,31,7863179
2022-08-01,23,5833971
2022-09-01,21,5326669
2022-10-01,17,4312065
2022-11-01,25,6341273
2022-12-01,17,4312065
2023-01-01,20,5073018
2023-02-01,20,5073018
2023-03-01,23,5833971
2023-04-01,21,5326669
2023-05-01,18,4565716
2023-06-01,19,4819367
2023-07-01,18,4565716
2023-08-01,18,4565716
2023-09-01,15,3804764
2023-10-01,20,5073018
2023-11-01,21,5326669
2023-12-01,24,6087622
2024-01-01,28,7102226
2024-02-01,27,6848575
2024-03-01,49,12428896
