,DATE,MANMM101USA189S
0,1960-01-01,140300000000.0
1,1961-01-01,143066666666.667
2,1962-01-01,146475000000.0
3,1963-01-01,150925000000.0
4,1964-01-01,156808333333.333
5,1965-01-01,163458333333.333
6,1966-01-01,170958333333.333
7,1967-01-01,177666666666.667
8,1968-01-01,190133333333.333
9,1969-01-01,201425000000.0
10,1970-01-01,209116666666.667
11,1971-01-01,223183333333.333
12,1972-01-01,239041666666.667
13,1973-01-01,256350000000.00003
14,1974-01-01,269200000000.0
15,1975-01-01,281433333333.333
16,1976-01-01,297200000000.0
17,1977-01-01,320000000000.0
18,1978-01-01,346316666666.667
19,1979-01-01,372708333333.33295
20,1980-01-01,395733333333.333
21,1981-01-01,424900000000.0
22,1982-01-01,453000000000.0
23,1983-01-01,503175000000.0
24,1984-01-01,538641666666.667
25,1985-01-01,586950000000.0
26,1986-01-01,666358333333.333
27,1987-01-01,743450000000.0
28,1988-01-01,774758333333.333
29,1989-01-01,782191666666.666
30,1990-01-01,810566666666.666
31,1991-01-01,858983333333.333
32,1992-01-01,965941666666.666
33,1993-01-01,1078508333333.33
34,1994-01-01,1145216666666.6702
35,1995-01-01,1143075000000.0
36,1996-01-01,1106533333333.3298
37,1997-01-01,1070125000000.0
38,1998-01-01,1080558333333.33
39,1999-01-01,1102275000000.0
40,2000-01-01,1103600000000.0
41,2001-01-01,1140300000000.0
42,2002-01-01,1196700000000.0
43,2003-01-01,1274041666666.67
44,2004-01-01,1344591666666.6702
45,2005-01-01,1371950000000.0
46,2006-01-01,1375000000000.0
47,2007-01-01,1373008333333.33
48,2008-01-01,1435200000000.0
49,2009-01-01,1638050000000.0
50,2010-01-01,1742691666666.67
51,2011-01-01,2010508333333.33
52,2012-01-01,2315500000000.0
53,2013-01-01,2549725000000.0
54,2014-01-01,2815158333333.33
55,2015-01-01,3021900000000.0
56,2016-01-01,3248916666666.67
57,2017-01-01,3524533333333.33
58,2018-01-01,3680583333333.33
59,2019-01-01,3845316666666.67
60,2020-01-01,12783475000000.0
61,2021-01-01,19364708333333.3
62,2022-01-01,20399858333333.3
