Category: All categories

Day,bitcoin: (Worldwide)
2023-11-29,31
2023-11-30,30
2023-12-01,34
2023-12-02,33
2023-12-03,36
2023-12-04,57
2023-12-05,56
2023-12-06,54
2023-12-07,45
2023-12-08,46
2023-12-09,42
2023-12-10,38
2023-12-11,46
2023-12-12,38
2023-12-13,39
2023-12-14,38
2023-12-15,37
2023-12-16,34
2023-12-17,32
2023-12-18,37
2023-12-19,36
2023-12-20,39
2023-12-21,39
2023-12-22,37
2023-12-23,34
2023-12-24,33
2023-12-25,34
2023-12-26,36
2023-12-27,36
2023-12-28,36
2023-12-29,36
2023-12-30,32
2023-12-31,31
2024-01-01,36
2024-01-02,54
2024-01-03,60
2024-01-04,47
2024-01-05,48
2024-01-06,40
2024-01-07,40
2024-01-08,55
2024-01-09,64
2024-01-10,94
2024-01-11,100
2024-01-12,65
2024-01-13,50
2024-01-14,42
2024-01-15,44
2024-01-16,42
2024-01-17,37
2024-01-18,40
2024-01-19,42
2024-01-20,34
2024-01-21,32
2024-01-22,40
2024-01-23,44
2024-01-24,37
2024-01-25,35
2024-01-26,35
2024-01-27,28
2024-01-28,27
2024-01-29,30
2024-01-30,33
2024-01-31,31
2024-02-01,28
2024-02-02,28
2024-02-03,25
2024-02-04,27
2024-02-05,27
2024-02-06,27
2024-02-07,27
2024-02-08,34
2024-02-09,45
2024-02-10,34
2024-02-11,36
2024-02-12,47
2024-02-13,49
2024-02-14,52
2024-02-15,51
2024-02-16,46
2024-02-17,37
2024-02-18,35
2024-02-19,39
2024-02-20,40
2024-02-21,40
2024-02-22,37
2024-02-23,34
2024-02-24,31
2024-02-25,30
