Date,Price,Open,High,Low,Vol.,Change %
1999-09-30,1282.7,1268.4,1291.3,1268.4,,1.13
1999-09-29,1268.4,1282.2,1288.8,1268.2,,-1.08
1999-09-28,1282.2,1283.3,1285.5,1256.3,,-0.09
1999-09-27,1283.3,1277.4,1295.0,1277.4,,0.46
1999-09-24,1277.4,1280.4,1281.2,1263.8,,-0.23
1999-09-23,1280.4,1310.5,1315.2,1277.3,,-2.3
1999-09-22,1310.5,1307.6,1316.2,1297.8,,0.22
1999-09-21,1307.6,1335.5,1335.5,1302.0,,-2.09
1999-09-20,1335.5,1335.4,1338.4,1330.6,,0.01
1999-09-17,1335.4,1318.5,1337.6,1318.5,,1.28
1999-09-16,1318.5,1318.0,1322.5,1300.0,,0.04
1999-09-15,1318.0,1336.3,1347.2,1318.0,,-1.37
1999-09-14,1336.3,1344.1,1344.2,1330.6,,-0.58
1999-09-13,1344.1,1351.7,1351.7,1341.7,,-0.56
1999-09-10,1351.7,1347.7,1357.7,1346.1,,0.3
1999-09-09,1347.7,1344.2,1347.7,1333.9,,0.26
1999-09-08,1344.2,1343.4,1355.2,1337.4,,-0.47
1999-09-07,1350.5,1357.2,1361.3,1349.6,,-0.49
1999-09-03,1357.2,1319.1,1357.7,1319.1,,2.89
1999-09-02,1319.1,1331.1,1331.1,1304.9,,-0.9
1999-09-01,1331.1,1320.4,1331.2,1320.4,,0.81
1999-08-31,1320.4,1324.0,1333.3,1307.0,,-0.27
1999-08-30,1324.0,1348.3,1350.7,1322.8,,-1.8
1999-08-27,1348.3,1362.0,1365.6,1347.3,,-1.01
1999-08-26,1362.0,1381.8,1381.8,1361.5,,-1.43
1999-08-25,1381.8,1363.5,1382.8,1359.2,,1.34
1999-08-24,1363.5,1360.2,1373.3,1353.6,,0.24
1999-08-23,1360.2,1336.6,1360.2,1336.6,,1.77
1999-08-20,1336.6,1323.6,1336.6,1323.6,,0.98
1999-08-19,1323.6,1332.8,1332.8,1315.3,,-0.69
1999-08-18,1332.8,1344.2,1344.2,1332.1,,-0.85
1999-08-17,1344.2,1330.8,1344.2,1328.8,,1.01
1999-08-16,1330.8,1327.7,1331.0,1320.5,,0.23
1999-08-13,1327.7,1298.2,1327.7,1298.2,,2.27
1999-08-12,1298.2,1301.9,1313.6,1298.1,,-0.28
1999-08-11,1301.9,1281.4,1301.9,1281.4,,1.6
1999-08-10,1281.4,1297.8,1298.6,1267.7,,-1.26
1999-08-09,1297.8,1300.3,1306.7,1296.0,,-0.19
1999-08-06,1300.3,1313.7,1316.7,1293.2,,-1.02
1999-08-05,1313.7,1305.3,1313.7,1287.2,,0.64
1999-08-04,1305.3,1322.2,1330.2,1304.5,,-1.28
1999-08-03,1322.2,1328.0,1336.1,1314.9,,-0.44
1999-08-02,1328.0,1328.7,1344.7,1325.2,,-0.05
1999-07-30,1328.7,1341.0,1350.9,1328.5,,-0.92
1999-07-29,1341.0,1365.4,1365.4,1332.6,,-1.79
1999-07-28,1365.4,1362.8,1370.4,1355.6,,0.19
1999-07-27,1362.8,1351.0,1368.7,1347.8,,1.11
1999-07-26,1347.8,1356.9,1358.6,1346.2,,-0.67
1999-07-23,1356.9,1361.0,1367.4,1349.9,,-0.3
1999-07-22,1361.0,1379.3,1379.3,1354.0,,-1.33
1999-07-21,1379.3,1377.1,1386.7,1372.6,,0.16
1999-07-20,1377.1,1407.7,1407.7,1375.2,,-2.17
1999-07-19,1407.7,1418.8,1420.3,1404.6,,-0.78
1999-07-16,1418.8,1409.6,1418.8,1407.1,,0.65
1999-07-15,1409.6,1398.2,1409.8,1398.2,,0.82
1999-07-14,1398.2,1393.6,1400.0,1386.5,,0.33
1999-07-13,1393.6,1399.1,1399.1,1386.8,,-0.39
1999-07-12,1399.1,1403.3,1406.8,1394.7,,-0.3
1999-07-09,1403.3,1394.4,1403.3,1394.4,,0.64
1999-07-08,1394.4,1395.9,1403.2,1386.7,,-0.11
1999-07-07,1395.9,1388.1,1395.9,1385.0,,0.56
1999-07-06,1388.1,1391.2,1405.3,1387.1,,-0.22
1999-07-02,1391.2,1381.0,1391.2,1379.6,,0.74
1999-07-01,1381.0,1372.7,1382.8,1360.8,,0.6
1999-06-30,1372.7,1351.5,1372.9,1338.8,,1.57
1999-06-29,1351.5,1331.3,1351.5,1328.4,,1.52
1999-06-28,1331.3,1315.3,1338.7,1315.3,,1.22
1999-06-25,1315.3,1315.8,1329.1,1312.6,,-0.04
1999-06-24,1315.8,1333.1,1333.1,1308.5,,-1.3
1999-06-23,1333.1,1335.9,1335.9,1322.5,,-0.21
1999-06-22,1335.9,1349.0,1351.1,1335.5,,-0.97
1999-06-21,1349.0,1342.8,1349.1,1337.6,,0.46
1999-06-18,1342.8,1339.9,1344.5,1333.5,,0.22
1999-06-17,1339.9,1330.4,1343.5,1322.8,,0.71
1999-06-16,1330.4,1301.2,1332.8,1301.2,,2.24
1999-06-15,1301.2,1294.0,1310.8,1294.0,,0.56
1999-06-14,1294.0,1293.6,1302.0,1292.2,,0.03
1999-06-11,1293.6,1302.8,1312.0,1287.9,,-0.71
