Date,Price,Open,High,Low,Vol.,Change %,GoogleValues
2024-03-03,63135.8,61955.6,63227.3,61399.4,38.01,1.84,100
2024-02-25,51722.7,51572.1,51952.0,51299.0,23.61,0.29,72
2024-02-18,52117.5,51646.0,52350.3,51199.6,26.89,0.91,38
2024-02-11,48277.3,47759.3,48531.6,47590.2,36.5,1.09,48
2024-02-04,42581.4,43006.2,43113.2,42379.4,20.33,-0.99,35
2024-01-28,42030.7,42121.3,42817.1,41649.0,32.53,-0.21,33
2024-01-21,41583.2,41695.4,41878.0,41504.5,16.11,-0.27,40
2024-01-14,41746.1,42851.3,43069.4,41739.6,37.14,-2.58,44
2024-01-07,43927.3,43973.5,44481.2,43627.9,29.53,-0.09,75
2023-12-31,42272.5,42141.6,42878.8,41971.4,35.58,0.32,96
2023-12-24,42981.5,43710.4,43935.7,42748.5,30.86,-1.67,75
2023-12-17,41368.7,42271.7,42413.2,41276.9,35.46,-2.14,76
2023-12-10,43791.0,43716.6,44045.4,43576.8,23.81,0.17,79
2023-12-03,39970.2,39456.8,40178.9,39280.3,35.27,1.3,100
2023-11-26,37451.8,37786.4,37819.1,37166.3,29.2,-0.89,69
2023-11-19,37354.2,36568.6,37504.6,36393.3,26.14,2.15,68
2023-11-12,37064.4,37149.0,37215.3,36761.9,21.45,-0.23,72
2023-11-05,35019.4,35065.8,35360.2,34550.0,31.02,-0.13,73
2023-10-29,34526.7,34082.6,34737.9,33937.6,27.72,1.3,71
2023-10-22,29984.2,29912.7,30193.4,29713.6,29.07,0.24,89
2023-10-15,27161.2,26852.8,27286.9,26812.6,21.95,1.15,62
2023-10-08,27922.7,27961.1,28097.5,27714.4,24.11,-0.14,50
2023-10-01,27974.5,26962.5,28038.4,26955.7,35.11,3.75,54
2023-09-24,26251.5,26579.0,26727.6,26162.2,22.32,-1.23,49
2023-09-17,26529.1,26562.0,26614.4,26408.7,16.57,-0.12,52
2023-09-10,25840.2,25901.1,25995.1,25626.7,23.6,-0.24,55
2023-09-03,25971.0,25869.7,26090.4,25816.6,21.36,0.39,54
2023-08-27,26100.6,26017.1,26176.8,25968.7,14.29,0.32,61
2023-08-20,26190.8,26099.5,26269.1,25998.5,24.0,0.35,60
2023-08-13,29300.1,29428.2,29468.5,29272.3,13.49,-0.44,68
2023-08-06,29081.3,29067.9,29198.9,28987.4,16.03,0.05,58
2023-07-30,29281.7,29354.2,29446.6,29054.5,20.58,-0.24,57
2023-07-23,30085.9,29788.9,30337.0,29735.7,23.32,1.0,60
2023-07-16,30235.5,30291.8,30435.0,30075.4,20.31,-0.18,62
2023-07-09,30166.9,30288.8,30425.5,30071.9,20.05,-0.4,66
2023-07-02,30617.7,30587.1,30769.0,30227.9,28.82,0.1,65
2023-06-25,30465.3,30533.6,31040.2,30315.8,37.12,-0.22,66
2023-06-18,26339.7,26515.0,26679.3,26290.6,27.31,-0.66,70
2023-06-11,25928.4,25843.3,26190.1,25660.8,39.2,0.33,59
2023-06-04,27122.3,27070.9,27410.2,26956.1,23.81,0.19,62
2023-05-28,28071.2,26855.3,28181.9,26788.5,55.23,4.52,57
2023-05-21,26749.9,27116.2,27257.1,26677.6,27.42,-1.35,55
2023-05-14,26920.0,26777.4,27176.1,26609.9,26.35,0.53,56
2023-05-07,28424.8,28857.1,29122.0,28419.6,36.5,-1.5,65
2023-04-30,29252.1,29235.1,29941.3,29095.0,47.62,0.06,66
2023-04-23,27591.4,27813.8,27815.0,27388.5,41.77,-0.8,70
2023-04-16,30310.3,30299.2,30545.3,30134.6,34.48,0.04,73
2023-04-09,28326.6,27941.2,28522.7,27809.2,39.35,1.38,81
2023-04-02,28198.3,28456.1,28522.8,27871.7,45.04,-0.91,72
2023-03-26,27973.5,27474.9,28153.7,27429.1,60.64,1.81,77
2023-03-19,27958.7,26914.5,28347.3,26844.6,393.27,3.88,95
2023-03-12,21994.8,20465.0,22028.6,20294.2,455.69,7.46,91
