Date,Price,Open,High,Low,Vol.,Change %,GoogleValues,VolumeSearch
2024-03-01,62397.7,61157.3,63147.3,60790.9,74.96,2.01,50,12428896
2024-02-01,43081.4,42580.1,43263.1,41890.5,47.69,1.18,27,6711603
2024-01-01,44183.4,42272.5,44187.0,42196.7,36.3,4.52,28,6960181
2023-12-01,38688.2,37712.9,38950.8,37618.3,62.5,2.59,24,5965870
2023-11-01,35423.8,34648.3,35557.5,34138.7,71.66,2.23,21,5220136
2023-10-01,27974.5,26962.5,28038.4,26955.7,35.11,3.75,20,4971558
2023-09-01,25803.2,25938.3,26144.9,25361.9,58.08,-0.52,15,3728668
2023-08-01,29712.2,29232.3,29712.2,28611.0,64.01,1.64,18,4474402
2023-07-01,30586.8,30472.9,30649.9,30329.0,22.46,0.37,18,4474402
2023-06-01,26819.0,27216.4,27340.9,26662.3,51.98,-1.46,19,4722980
2023-05-01,28077.6,29252.1,29329.6,27685.9,84.36,-4.02,18,4474402
2023-04-01,28456.1,28473.7,28795.1,28285.6,38.09,-0.06,21,5220136
2023-03-01,23642.2,23130.6,23914.1,23025.3,328.77,2.21,23,5717292
2023-02-01,23725.6,23124.7,23784.5,22809.6,333.18,2.6,20,4971558
2023-01-01,16618.4,16537.5,16621.9,16499.7,107.84,0.49,20,4971558
2022-12-01,16972.0,17163.4,17244.7,16868.9,266.14,-1.12,17,4225824
2022-11-01,20483.5,20496.1,20676.6,20348.1,302.72,-0.06,25,6214448
2022-10-01,19311.9,19422.9,19480.3,19172.6,173.91,-0.57,17,4225824
2022-09-01,20126.1,20049.9,20202.7,19584.4,275.08,0.41,21,5220136
2022-08-01,23271.2,23303.4,23484.4,22863.8,162.33,-0.14,23,5717292
2022-07-01,19262.9,19926.6,20785.6,18980.1,150.18,-3.33,31,7705915
2022-06-01,29798.5,31793.1,31969.9,29396.6,135.09,-6.27,41,10191694
2022-05-01,38461.0,37642.0,38676.0,37397.0,276.99,2.15,36,8948805
2022-04-01,46297.0,45529.0,46728.0,44261.0,632.93,1.7,23,5717292
2022-03-01,44420.3,43187.2,44900.5,42876.6,90.67,2.85,32,7954493
2022-02-01,38709.7,38475.6,39230.0,38037.9,55.2,0.55,36,8948805
2022-01-01,47738.0,46217.5,47917.6,46217.5,31.24,3.29,42,10440272
2021-12-01,57210.3,56891.7,59064.3,56496.5,66.75,0.58,33,8203071
2021-11-01,60915.3,61310.1,62430.1,59612.7,61.21,-0.64,34,8451649
2021-10-01,48146.0,43824.4,48435.2,43292.9,94.66,9.86,36,8948805
2021-09-01,48819.4,47129.2,49121.0,46533.1,74.38,3.58,32,7954493
2021-08-01,39878.3,41510.0,42565.0,39556.5,80.33,-4.03,32,7954493
2021-07-01,33543.6,35030.7,35032.7,32839.2,27.41,-4.23,31,7705915
2021-06-01,36687.6,37294.3,37850.3,35742.7,113.48,-1.64,44,10937428
2021-05-01,57807.1,57719.1,58449.4,57029.5,63.41,0.15,66,16406142
2021-04-01,58718.3,58763.2,59406.5,58040.7,69.04,-0.08,53,13174629
2021-03-01,49595.5,45160.5,49774.0,45008.8,137.52,9.81,48,11931740
2021-02-01,33515.7,33106.8,34685.6,32324.9,126.32,1.23,67,16654720
2021-01-01,29359.9,28951.7,29627.1,28712.4,100.9,1.42,64,15908986
2020-12-01,18770.7,19697.8,19897.4,18257.0,208.72,-4.71,31,7705915
2020-11-01,13759.4,13795.5,13889.5,13628.7,51.71,-0.27,24,5965870
2020-10-01,10620.5,10776.6,10913.7,10462.7,95.33,-1.44,14,3480090
2020-09-01,11914.9,11644.2,12045.9,11544.6,580.69,2.32,13,3231512
2020-08-01,11803.1,11333.2,11847.7,11226.1,611.47,4.14,16,3977246
2020-07-01,9229.9,9135.9,9289.0,9101.1,366.78,1.03,15,3728668
2020-06-01,10189.3,9454.5,10301.8,9429.7,796.68,7.77,13,3231512
2020-05-01,8821.6,8628.6,9040.3,8621.0,1.11,2.23,20,4971558
2020-04-01,6638.5,6412.4,6661.3,6157.4,1.4,3.52,16,3977246
2020-03-01,8540.0,8543.8,8737.2,8437.2,784.05,-0.04,20,4971558
2020-02-01,9381.6,9349.3,9458.8,9301.5,458.42,0.35,14,3480090
2020-01-01,7199.8,7196.4,7259.4,7180.0,420.28,0.05,13,3231512
2019-12-01,7396.4,7546.5,7546.5,7244.4,777.0,-1.99,11,2734357
2019-11-01,9230.1,9153.1,9270.4,9057.2,689.65,0.85,12,2982935
2019-10-01,8302.7,8285.0,8486.2,8187.9,533.95,0.22,12,2982935
2019-09-01,9729.3,9594.7,9799.5,9533.6,322.66,1.41,12,2982935
2019-08-01,10380.0,10081.9,10459.0,9890.6,608.37,2.96,16,3977246
2019-07-01,10616.6,10821.4,11254.5,10041.6,1.04,-1.87,19,4722980
2019-06-01,8545.7,8556.9,8615.8,8454.0,686.75,-0.15,21,5220136
2019-05-01,5384.2,5321.1,5396.3,5319.5,623.64,1.19,17,4225824
2019-04-01,4145.1,4102.3,4159.1,4076.8,3.22,1.04,13,3231512
