Date,Price,GoogleValues
2024-03-03,63135.8,100
2024-02-25,51722.7,72
2024-02-18,52117.5,38
2024-02-11,48277.3,48
2024-02-04,42581.4,35
2024-01-28,42030.7,33
2024-01-21,41583.2,40
2024-01-14,41746.1,44
2024-01-07,43927.3,75
2023-12-31,42272.5,96
2023-12-24,42981.5,75
2023-12-17,41368.7,76
2023-12-10,43791.0,79
2023-12-03,39970.2,100
2023-11-26,37451.8,69
2023-11-19,37354.2,68
2023-11-12,37064.4,72
2023-11-05,35019.4,73
2023-10-29,34526.7,71
2023-10-22,29984.2,89
2023-10-15,27161.2,62
2023-10-08,27922.7,50
2023-10-01,27974.5,54
2023-09-24,26251.5,49
2023-09-17,26529.1,52
2023-09-10,25840.2,55
2023-09-03,25971.0,54
2023-08-27,26100.6,61
2023-08-20,26190.8,60
2023-08-13,29300.1,68
2023-08-06,29081.3,58
2023-07-30,29281.7,57
2023-07-23,30085.9,60
2023-07-16,30235.5,62
2023-07-09,30166.9,66
2023-07-02,30617.7,65
2023-06-25,30465.3,66
2023-06-18,26339.7,70
2023-06-11,25928.4,59
2023-06-04,27122.3,62
2023-05-28,28071.2,57
2023-05-21,26749.9,55
2023-05-14,26920.0,56
2023-05-07,28424.8,65
2023-04-30,29252.1,66
2023-04-23,27591.4,70
2023-04-16,30310.3,73
2023-04-09,28326.6,81
2023-04-02,28198.3,72
2023-03-26,27973.5,77
2023-03-19,27958.7,95
2023-03-12,21994.8,91
2023-03-05,22428.3,62
2023-02-26,23558.7,62
2023-02-19,24302.9,65
2023-02-12,21786.8,65
2023-02-05,22936.0,65
2023-01-29,23753.1,71
2023-01-22,22707.8,73
2023-01-15,20879.8,80
2023-01-08,17119.0,69
2023-01-01,16618.4,59
2022-12-25,16831.8,27
2022-12-18,16741.1,26
2022-12-11,17093.3,29
2022-12-04,17112.6,28
2022-11-27,16425.6,30
2022-11-20,16286.7,34
2022-11-13,16324.5,46
2022-11-06,20916.3,50
2022-10-30,20626.3,26
2022-10-23,19571.2,26
2022-10-16,19261.9,25
2022-10-09,19441.0,28
2022-10-02,19052.2,29
2022-09-25,18803.2,31
2022-09-18,19418.8,35
2022-09-11,21834.9,32
2022-09-04,19999.9,32
2022-08-28,19550.2,33
2022-08-21,21517.2,33
2022-08-14,24302.8,33
2022-08-07,23175.3,35
2022-07-31,23303.4,35
2022-07-24,22582.1,40
2022-07-17,20785.6,46
2022-07-10,20847.4,45
2022-07-03,19309.9,48
2022-06-26,21043.5,56
2022-06-19,20577.2,75
2022-06-12,26606.3,100
2022-06-05,29913.0,37
2022-05-29,29465.2,39
2022-05-22,30286.6,43
2022-05-15,31308.7,56
2022-05-08,34060.0,83
2022-05-01,38461.0,36
2022-04-24,39464.0,34
2022-04-17,39703.0,32
2022-04-10,42138.0,38
2022-04-03,46407.0,38
2022-03-27,46859.0,41
2022-03-20,41276.0,40
2022-03-13,37792.4,43
2022-03-06,38403.1,47
2022-02-27,37689.1,55
2022-02-20,38355.0,61
2022-02-13,42061.1,45
2022-02-06,42392.2,56
2022-01-30,37917.7,58
2022-01-23,36269.5,79
2022-01-16,43079.1,60
2022-01-09,41848.3,57
2022-01-02,47311.8,61
2021-12-26,50779.9,32
2021-12-19,46704.5,32
2021-12-12,50081.0,37
2021-12-05,49405.5,42
2021-11-28,57291.5,37
2021-11-21,58714.3,36
2021-11-14,65508.2,37
2021-11-07,63273.2,38
2021-10-31,61309.6,32
2021-10-24,60866.5,37
2021-10-17,61527.5,48
2021-10-10,54687.7,36
2021-10-03,48200.1,33
2021-09-26,43203.4,30
2021-09-19,47238.7,35
2021-09-12,46062.3,28
2021-09-05,51768.6,38
2021-08-29,48777.4,29
2021-08-22,49254.5,34
2021-08-15,46991.3,33
2021-08-08,43792.8,36
2021-08-01,39878.3,32
2021-07-25,35391.1,40
2021-07-18,31785.4,34
2021-07-11,34227.7,29
2021-07-04,35298.2,30
2021-06-27,34678.5,37
2021-06-20,35595.8,50
2021-06-13,39022.9,40
2021-06-06,35815.4,54
2021-05-30,35652.8,53
2021-05-23,34679.7,72
2021-05-16,46426.4,100
2021-05-09,58238.3,59
2021-05-02,56603.8,45
2021-04-25,48963.6,52
2021-04-18,56207.1,72
2021-04-11,59978.7,54
2021-04-04,58199.9,43
2021-03-28,55765.2,46
2021-03-21,57383.8,46
2021-03-14,59113.7,54
2021-03-07,50982.3,52
2021-02-28,45164.0,53
2021-02-21,57433.8,80
2021-02-14,48643.4,73
2021-02-07,38852.9,79
2021-01-31,33108.1,44
2021-01-24,32241.3,49
2021-01-17,35839.6,54
2021-01-10,38192.2,83
2021-01-03,32958.9,92
2020-12-27,26261.3,100
2020-12-20,23474.9,64
2020-12-13,19176.8,62
2020-12-06,19379.9,40
2020-11-29,18185.5,49
2020-11-22,18412.9,57
2020-11-15,15953.0,51
2020-11-08,15483.7,37
2020-11-01,13759.4,37
2020-10-25,13032.2,32
2020-10-18,11506.9,31
2020-10-11,11371.0,22
2020-10-04,10672.9,21
2020-09-27,10776.2,21
2020-09-20,10921.5,22
2020-09-13,10326.0,23
2020-09-06,10296.4,25
2020-08-30,11702.0,28
2020-08-23,11641.6,26
2020-08-16,11899.0,31
2020-08-09,11681.2,31
2020-08-02,11066.8,36
2020-07-26,9932.5,37
2020-07-19,9208.0,25
2020-07-12,9300.8,27
2020-07-05,9081.0,23
2020-06-28,9124.0,23
2020-06-21,9296.4,23
2020-06-14,9345.3,26
2020-06-07,9742.6,27
2020-05-31,9454.8,29
2020-05-24,8728.2,30
2020-05-17,9677.7,33
2020-05-10,8738.8,49
2020-05-03,8885.5,42
2020-04-26,7678.9,38
2020-04-19,7122.9,29
2020-04-12,6917.6,29
2020-04-05,6772.7,31
2020-03-29,5890.4,31
2020-03-22,5822.1,35
2020-03-15,5366.3,47
2020-03-08,8034.1,46
2020-03-01,8540.0,25
2020-02-23,9942.7,26
